Ag,As,Pb,Sb,Cr,Ba,Hg,Cd,Ni,Tl,V
2.7,48.4,277.656,8,89.894,1130,2,19.2,28.8,2,79
43.2,72.4,200.713,28,81.552,1022,2,8.2,36.1,2,78
12.3,143,545.562,116,76.331,826,4,23.4,23.6,2,63
9.4,83.5,300.929,69,69.156,1675,4,2,5.8,4.54,31
9.1,103.7,635.549,57,52.15,1312,2.9,6.8,10,2,31
12.9,130.6,850.782,50,61.152,497,3.1,2.9,5.1,2,33
2,4.7,29.335,2,19.158,142,2,2,42,2,69
2,2,133.838,2,123.481,2774,2,2,59.9,2,160
2,7.9,55.567,2,20.837,290,2,2,8.1,2,81
2,15.4,131.018,2,25.059,74,2,2,31.1,2,89
2,2,22.345,2,44.888,57,2,2,11,2,124
2,104.6,24.564,2,80.824,96,2,2,59.2,2,82
2,10.3,138.292,2,27.422,105,2,2,35.9,2,109
110.7,1889,"40,411.75",192,25.636,2,95.2,1195,10.2,43.61,16
78.5,139.9,"3,503.05",914,12.99,640,12.5,580.5,3.2,2,10
,,,,,,,,,,
,,,,,,,,,,